"Date","Price","Open","High","Low","Vol.","Change %"
"2024-04-23","150.33","151.04","152.07","149.98","280.00K","-0.17%"
"2024-04-22","150.58","148.80","151.00","148.80","340.92K","1.56%"
"2024-04-19","148.27","148.36","149.35","147.51","444.05K","0.03%"
"2024-04-18","148.23","149.46","149.75","146.90","404.94K","-0.52%"
"2024-04-17","149.01","148.56","149.43","147.12","233.01K","0.50%"
"2024-04-16","148.27","149.58","149.76","147.78","332.79K","-0.64%"
"2024-04-15","149.23","147.51","150.43","147.09","407.61K","1.80%"
"2024-04-12","146.59","148.00","148.43","145.80","304.63K","-1.15%"
"2024-04-11","148.30","149.39","149.39","147.84","352.31K","-0.34%"
"2024-04-10","148.80","148.63","149.57","147.63","270.83K","-0.19%"
"2024-04-09","149.09","149.67","149.67","147.62","258.14K","-0.05%"
"2024-04-08","149.17","149.39","150.00","149.09","306.13K","-0.23%"
"2024-04-05","149.52","147.09","149.89","146.84","272.10K","1.48%"
"2024-04-04","147.34","150.05","150.22","146.86","419.60K","-1.74%"
"2024-04-03","149.95","149.35","150.75","149.01","326.99K","0.21%"
"2024-04-02","149.64","149.40","149.85","148.54","377.49K","-0.58%"
"2024-04-01","150.52","150.34","151.20","149.13","209.03K","0.28%"
"2024-03-28","150.10","151.27","152.32","149.00","421.72K","-0.92%"
"2024-03-27","151.50","152.59","153.29","151.38","300.30K","-0.25%"
"2024-03-26","151.88","153.19","153.76","151.82","410.31K","-1.16%"
"2024-03-25","153.66","152.40","154.70","151.58","398.42K","0.54%"
"2024-03-22","152.83","150.79","153.01","149.82","531.09K","1.66%"
"2024-03-21","150.34","149.55","151.19","148.93","555.19K","0.33%"
"2024-03-20","149.85","150.50","151.06","149.42","368.37K","-0.25%"
"2024-03-19","150.23","149.96","150.69","148.89","365.32K","0.26%"
"2024-03-18","149.84","150.72","151.18","149.71","464.81K","-0.53%"
"2024-03-15","150.64","150.09","150.92","149.18","1.33M","0.27%"
"2024-03-14","150.24","151.00","151.08","149.28","406.44K","-0.83%"
"2024-03-13","151.50","149.81","152.00","149.57","432.79K","1.21%"
"2024-03-12","149.69","150.00","150.87","149.15","253.62K","0.15%"
"2024-03-11","149.46","148.24","150.44","148.18","549.47K","0.54%"
"2024-03-08","148.66","149.13","151.75","148.02","793.51K","-0.67%"
"2024-03-07","149.66","144.26","149.69","143.96","574.33K","3.57%"
"2024-03-06","144.50","142.05","144.59","141.59","630.94K","1.66%"
"2024-03-05","142.14","142.75","143.15","141.66","295.82K","-0.36%"
"2024-03-04","142.66","144.12","144.84","142.46","332.45K","-1.70%"
